Hasil PISA 2015 Brazil dan Italia,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NEGARA,KLMN,UMUR,PLING,PIBU,PBPK,PORTU,LUARJAM,MMAT,MBHS,MSNS,MOTIF,KOLAB,NILAIKOL,EMO,SOSEKO,MAT,BACA,SAINS
BRA,2,"16,08","2,0258",6,6,6,7,300,300,600,"0,6611","-0,2882","-0,6806","-0,889","0,5334","574,428","512,812","537,304"
BRA,2,"16,33","2,0258",4,1,4,26,300,300,450,"0,3377","0,9455","0,6732","0,1018","-1,3234","532,752","409,494","532,613"
BRA,1,"15,92","2,0177",1,1,1,11,140,105,105,"-0,1651","-0,2882","0,5587","0,4662","-2,4792","278,427","356,565","312,635"
BRA,1,"15,67","1,8512",0,4,4,24,250,250,100,"-0,5643","-0,2882","0,0333","-0,889","-1,179","355,091","334,858","381,934"
BRA,1,"15,58","1,8029",5,5,5,11,270,135,90,"0,1717","-0,2882","-0,5546","-1,2042","0,6438","523,724","568,605","493,247"
BRA,2,"15,92","1,8029",6,2,6,26,180,180,180,"0,5387","0,8242","0,6316","0,1018","-0,1924","529,634","498,657","511,245"
BRA,1,"16,08","1,8029",4,4,4,11,200,100,500,"-0,1651","-0,2882","0,0333","1,0991","-0,8891","400,2","462,485","426,106"
BRA,2,"15,42","1,8029",0,2,2,62,250,300,200,"0,645","0,6615","1,0073","0,3838","-2,2888","333,337","376,938","398,396"
BRA,2,"15,42","1,6265",6,2,6,49,200,200,300,"1,3961","-0,0077","0,4713","0,3838","0,2518","441,134","402,983","383,998"
BRA,1,"16,33","1,6265",4,4,4,50,240,240,240,"-0,1651","-0,2882","0,0333","-0,889","-0,0024","530,02","614,019","529,248"
BRA,1,"15,83","1,6265",2,4,4,33,200,400,200,"-0,1651",-0.NA05,"-0,3735","-1,6525","-0,1143",521.8NA,"509,63","510,07"
BRA,2,"16,25","1,6265",4,6,6,12,200,200,100,"-0,9423",-0.NA05,"0,9305","0,0264","-0,1519","517,93","561,219","572,04"
BRA,1,"16,17","1,6265",4,4,4,8,150,150,100,"-0,3263","0,395","-0,3735","-0,889","-0,8703","482,947","528,783","471,008"
BRA,2,"15,92","1,621",6,2,6,2,250,250,300,"-0,3263","0,1885","1,0765","-0,2511","0,9082","564,893","574,153","569,672"
BRA,1,"15,42","1,621",6,1,6,17,180,90,180,"1,1359","1,3264","1,4758","1,0991","0,7065","467,891","523,277","468,455"
BRA,1,16,"1,621",4,4,4,22,250,250,450,"1,3961","-0,2882","0,5587","1,0991","-0,3706","577,566","521,032","547,218"
BRA,2,"15,5","1,621",2,2,2,46,150,300,250,"0,2168","-0,2882","0,6316","1,0991","-0,6896","460,769","424,21","437,86"
BRA,1,"16,17","1,621",2,4,4,15,300,240,120,"-0,8771","0,9675","1,1483","1,0991","-0,9614","334,952","435,183",3NA.052
BRA,1,"15,58","1,621",0,0,0,45,250,250,100,"0,0437","2,2879","2,1017","1,0991","-2,6131","391,281","573,421","444,387"
BRA,1,"15,58","1,4772",4,0,4,50,1200,960,240,"0,8101","2,2879","2,1017","-0,889","-0,4053","280,595","417,103","346,595"
BRA,1,16,"1,4725",4,1,4,8,200,250,150,"0,0437","-0,2882","0,0333","1,0991","-0,2839","521,059","618,422","522,906"
BRA,1,"15,5","1,4725",4,4,4,10,270,180,180,"-0,2803",-0.NA05,"0,1309","-0,4263","-0,7733","432,783","476,569","485,709"
BRA,2,"15,5","1,4721",3,6,6,7,240,240,120,"1,8543","2,2879","2,1017","1,0991","-0,2022","501,327","484,368","444,717"
BRA,1,"15,5","1,4721",1,0,1,6,300,300,240,"1,1359","-0,2882","-0,7799","-1,3298","-2,749","339,563","444,934","418,277"
BRA,2,"15,92","1,4679",3,6,6,40,250,200,150,"1,8543","1,5899","1,4758","1,0991","1,7345","346,759","465,212","428,442"
BRA,2,"15,92","1,3981",5,4,5,61,400,400,300,"1,3961","0,5759","-1,7882","0,3838","-0,2095","504,021","587,927","558,856"
BRA,2,"16,25","1,3441",5,4,5,31,250,100,600,"1,3961","0,8242","1,0765","0,4662","0,1432","529,88","575,508","568,771"
BRA,1,"16,08","1,3441",4,0,4,14,150,150,100,"-0,1624","-0,2882","-0,3","-1,3869","-0,141","401,248","629,436","518,658"
BRA,1,"15,83","1,3441",4,1,4,22,225,180,450,"0,705","1,5899","2,1017","1,0991",-0.86NA,"472,433","617,864","573,784"
BRA,1,16,"1,3441",4,1,4,18,200,200,100,"1,8543","0,8242","-0,7799","0,3838","-1,2249","463,71","565,845",528.NA2
BRA,1,"16,17","1,3441",4,5,5,6,135,180,90,"-1,1822","-0,2882","0,0333","-0,3372","-1,3328","365,58","413,503","420,718"
BRA,2,"15,75","1,34",4,4,4,26,160,160,80,"0,2937","0,5759","0,5587","1,0991","-0,445","391,81","512,426","468,137"
BRA,1,"15,75","1,3107",4,4,4,62,30,30,30,"0,1801","0,5759","1,0765","0,3838","0,1532","345,849","412,544","345,99"
BRA,1,"16,33","1,2539",6,5,6,16,100,150,100,"0,0437","-1,198","0,0333","0,3838","0,7664","393,657","425,251","408,732"
